id	label	x	y	cluster	weight<Links>	weight<Total link strength>	weight<Occurrences>	score<Avg. pub. year>	score<Avg. citations>	score<Avg. norm. citations>
64	abdomen	-0.2594	0.3046	3	35	46	29	2013.6897	6.5517	0.965
82	abdominal mass	-0.1486	0.106	7	5	6	6	2012.1667	3.3333	0.3358
97	abdominal wall defect	0.4825	-0.2133	14	44	100	43	2013.4651	10.5349	1.2818
118	abscess	-0.7692	0.3744	1	21	38	26	2013.6538	12	1.5772
164	achalasia	-0.1159	0.6977	5	12	14	17	2014	13.5882	1.7722
207	acute abdomen	0.228	0.4379	11	12	14	7	2011.4286	6.1429	0.5914
263	adolescence	-0.3904	-0.1576	1	70	129	97	2014.2371	7.6289	1.0337
271	adrenal	0.3971	0.8544	4	5	9	8	2012.875	9.125	1.0006
321	aganglionosis	0.9964	-0.0957	12	38	102	52	2014.0577	8.0962	1.3804
434	amniotic fluid	0.8093	0.522	7	14	26	12	2013.0833	9.1667	1.2026
474	anal sphincter	1.1428	0.4896	12	5	8	7	2013.1429	4.1429	0.5365
485	analgesia	-0.7534	0.3212	1	12	18	10	2013.6	12.7	1.3569
492	anastomosis	-0.0384	0.4614	6	41	73	33	2014.5758	10.1212	1.9991
506	anemia	-0.6696	-0.7089	13	3	3	5	2014.2	2.2	0.2857
507	anesthesia	-0.0547	0.2995	3	12	13	8	2016.875	1.5	0.4787
516	angiogenesis	0.381	0.0365	7	9	15	11	2013.5455	9.9091	1.4897
532	animal model	0.3843	0.4585	6	23	32	15	2016.0667	3	0.762
548	anoplasty	1.2292	-0.7046	8	5	8	5	2014.8	1.6	0.2124
557	anorectal malformation	0.7892	-0.3274	8	117	407	248	2013.8266	6.9597	1.0392
561	anorectal manometry	1.2639	-0.2798	12	12	23	11	2013.9091	6.9091	0.9083
577	antenatal	0.1293	-0.06	7	90	210	106	2013.6887	9.9906	1.6303
615	antibiotic	-0.5588	0.228	3	30	53	30	2014.6333	14.7	1.9793
645	antireflux surgery	-0.1935	1.1336	5	6	9	7	2013.8571	4.1429	0.5338
655	anxiety	-0.6174	0.4008	1	8	8	5	2016	2	0.471
662	aortopexy	-0.5969	0.7978	5	5	14	9	2014.4444	8.3333	1.4952
672	apoptosis	0.4971	0.139	4	28	56	33	2013.5455	7.7576	0.9588
686	appendicitis	-0.543	-0.1918	2	95	329	262	2014.4198	10.1183	1.4197
721	arm	0.8722	-0.8039	8	24	62	32	2013.625	6.2188	0.7013
752	arteriovenous malformation	-0.3506	0.1224	11	4	6	5	2012	3.6	0.381
763	ascites	-0.5365	0.4292	5	6	6	5	2010.8	10.4	0.9084
779	associated anomalies	0.5741	-0.4175	8	22	28	14	2012.9286	11.8571	1.6501
797	asymptomatic	-0.2825	0.5629	6	6	7	5	2014.8	14.4	2.2532
806	atresia	0.1395	0.0027	14	27	34	13	2012.8462	6.7692	0.6293
894	balloon dilatation	-0.306	0.881	5	15	24	14	2014.5714	10.7143	1.5397
915	bariatric surgery	-0.8013	0.0262	1	6	19	13	2014.7692	8.2308	1.0342
954	benign	-0.6187	0.4827	5	3	3	5	2012.2	9	0.9415
973	beta-catenin	0.4165	-0.6622	4	7	11	11	2013	8.2727	0.9486
1037	biliary atresia	-0.1057	-0.2937	9	68	206	183	2014.5301	6.3224	1.0723
1049	biliary diversion	-1.3327	-0.9552	9	2	5	5	2014.6	7	0.8816
1050	biliary dyskinesia	-0.8882	0.1701	11	6	10	8	2013.75	8	0.9272
1074	biodegradable lengthening device	1.4884	1.0276	10	4	20	5	2015	9.6	1.484
1088	biomarker	0.7273	0.6603	11	9	14	10	2015.8	6.3	0.8006
1097	biopsy	0.0678	0.208	3	15	19	8	2015.5	2.5	0.4707
1106	birth defects	0.4754	-0.3492	16	12	14	6	2012.6667	16.5	1.5545
1116	bladder	0.1985	0.089	7	28	29	28	2013.6071	5.5714	0.735
1124	bladder exstrophy	0.2682	-0.8616	8	16	19	20	2013.95	5.75	1.2221
