id	organization	documents	citations	total link strength
1	0st educ & res hosp	1	1	0
2	100 yil univ	1	3	1
3	19 mayis univ	4	4	4
4	1st educ & res hosp	1	0	0
5	401 gen mil hosp athens	1	0	7
6	9 eylul univ	1	4	1
7	aahus univ hosp	1	11	22
8	aalesund hosp	1	0	25
9	abant ızzet baysal univ	31	132	73
10	abdurrahman yurtaslan ankara oncol educ & res hos	2	0	4
11	abdurrahman yurtaslan oncol educ & res hosp	1	0	1
12	aberdeen royal ınfirm	2	58	23
13	abo akad univ	1	2	5
14	ac camargo canc ctr	15	33	90
15	acad econ cracow	1	1	1
16	acbadem hlth grp	1	0	3
17	acbadem univ	1	0	3
18	acibadem hlth grp	5	1	23
19	acibadem hosp	5	30	11
20	acibadem kadikoy hosp	1	5	3
21	acibadem lab	1	0	3
22	acibadem maslak hosp	4	11	7
23	acibadem med ctr	2	4	5
24	acibadem mehmet ali aydinlar univ	3	0	10
25	acibadem taksim hosp	1	0	2
26	acibadem univ	29	139	92
27	acibadem univ hosp	1	0	1
28	acibadem univ sch med	1	3	3
29	adana baskent univ	2	2	14
30	adana city res & educ hosp	1	0	2
31	adana city training & res hosp	1	0	1
32	adana grp adm	1	1	2
33	adana mental & nervous dis hosp	1	2	2
34	adana mil hosp	1	1	2
35	adana numune educ & res hosp	2	27	4
36	adana numune res & educ hosp	1	2	4
37	adana numune res & training hosp	1	21	2
38	adana teaching & med res ctr	1	15	2
39	adana univ	6	48	52
40	adana univ adana turkey	1	48	11
41	adirondack pathol	1	12	23
42	adiyaman univ	13	21	23
43	adiyaman univ training & res hosp	2	3	3
44	adnan menderes univ	37	298	57
45	adnan menderes univ med sch	1	15	0
46	aegean matern & womens hlth hosp	1	4	1
47	aegean social secur hosp	1	36	3
48	aegean unıv	2	2	0
49	afyon kocatepe univ	21	245	53
50	afyon kocatepe univ sch med	1	4	0
51	agean univ	1	2	11
52	agonist hlth care	1	1	3
53	agri mil hosp	1	2	2
54	agri state hosp	1	0	2
55	agri women & childrens hosp	1	0	2
56	ahi evran univ	1	11	2
57	ahi evran univ hosp	13	0	0
58	ahi evran univ res & training hosp	1	1	3
59	air force hosp	2	5	3
60	aix marseille univ	3	282	78
61	akad sjukhuset	1	29	11
62	akden univ	1	0	1
63	akdeniz med sch	3	0	0
64	akdeniz univ	179	690	136
65	akdeniz univ sch med	1	7	0
66	akdenziz univ	1	3	0
67	akdenız unıv	1	54	0
68	akh	1	12	2
69	alanya hosp	2	3	2
70	albany med coll hosp	1	40	19
71	albany med sch	1	18	5
72	alexandra hosp	1	36	21
73	ali osman sonmez oncol hosp	1	4	2
74	all ındia ınst med sci	4	38	61
75	alsancak state hosp	2	1	1
76	altru hosp	2	12	5
77	altunizade mah atifbey sokak	1	0	0
78	amer coll surg	1	11	2
79	amer hosp	1	3	3
80	anadolou med ctr	1	15	2
81	anadolu fdn hlth care syst	2	0	7
82	anadolu hlth care ctr	2	0	0
83	anadolu med ctr	11	13	29
84	anadolu univ	27	164	58
85	anatolian hlth ctr	1	24	1
86	andeniz univ	1	3	0
87	angoraevleri	1	2	1
88	ankara adv specializat hosp	1	0	1
89	ankara ataturk chest dis & chest surg educ & res	4	35	0
90	ankara ataturk eah	2	0	0
91	ankara ataturk educ & res hosp	11	62	19
92	ankara ataturk res & training hosp	3	7	6
93	ankara ataturk training & res hosp	4	13	8
94	ankara baskent univ	2	0	23
95	ankara child dis hematol & oncol educ & res hosp	1	4	0
96	ankara child hlth & dis hematol oncol educ & res	1	18	3
97	ankara childrens hematol & oncol hosp	1	12	2
98	ankara childrens hematol & oncol res & training h	4	3	5
99	ankara childrens hematol & oncol training & res h	2	23	3
100	ankara diskapi teaching & res hosp	4	18	27
101	ankara diskapi training & res hosp	4	35	46
102	ankara diskapi yb training & res hosp	1	0	1
103	ankara diskapi yildirim beyazit educ & res hosp	1	0	13
104	ankara diskapi yildirim beyazit res & training ho	1	0	0
105	ankara dr abdurrahman yurtaslan oncol educ & res	1	0	3
106	ankara educ & res hosp	12	45	64
107	ankara educ & training ctr	1	0	0
108	ankara educ hosp	1	0	0
109	ankara etlik matern & womens hlth teaching hosp	1	8	2
110	ankara etlik ıhtisas res & training hosp	1	12	2
111	ankara guven hosp	2	44	22
112	ankara hosp	3	0	1
113	ankara kecioren res hosp	3	0	0
114	ankara kecioren teaching & res hosp	1	1	4
115	ankara med res & training hosp	1	6	2
116	ankara mevki mil hosp	2	6	4
117	ankara numune educ & res hosp	1	3	1
118	ankara numune educ & res hosp ent clin	1	0	1
119	ankara numune educ & resarch hosp	1	0	0
120	ankara numune hosp	3	29	9
121	ankara numune teaching & res hosp	3	55	1
122	ankara numune training & res hosp	24	105	53
123	ankara occupat dis hosp	1	13	2
124	ankara occupat dis hosp toxicol	1	2	1
125	ankara occupat dis state hosp	1	33	2
126	ankara oncol educ & res hosp	1	7	5
127	ankara oncol hosp	11	87	23
128	ankara oncol res & training hosp	1	2	3
129	ankara oncol training & res hosp	2	0	15
130	ankara onkol hosp	1	0	3
131	ankara phys med rehbil ctr	1	0	2
132	ankara phys therapy & rehabil training & res hosp	1	2	1
133	ankara polatli state hosp	1	0	1
134	ankara res & training hosp	1	1	3
135	ankara res hosp	2	0	1
136	ankara social secur womens hosp	1	5	1
137	ankara ssk hosp	1	27	2
138	ankara state hosp	1	33	2
139	ankara teaching & res hosp	1	8	3
140	ankara ulus state hosp	1	3	3
141	ankara univ	235	1860	466
142	ankara univ hosp	1	4	1
143	ankara univ med	2	0	0
144	ankara unıv	6	98	3
145	ankara yildirim beyazit univ	6	4	8
146	antakya goct hosp	1	0	1
147	antalya educ & res hosp	2	25	6
148	antalya educ & training	4	0	0
149	antalya educ & training pathol	1	0	0
150	antalya erh	1	0	35
151	antalya kepez publ hosp	1	0	0
152	antalya res hosp	4	0	0
153	antalya state hosp	1	6	1
154	antalya training & res hosp	9	14	22
155	antalya training hosp	6	5	1
156	antera dent clin	1	0	1
157	antoni van leeuwenhoek hosp	1	1	37
158	aou careggi	2	1	51
159	aralik hosp	1	0	0
160	aralik state hosp	1	1	3
161	arcispedale santa maria nuova ırccs	1	7	5
162	arhus univ hosp	1	29	11
163	aristotle univ thessaloniki	2	14	30
164	armed forces ınst pathol	12	249	30
165	artvin state hosp	1	10	1
166	arup ınst clin & expt pathol	1	0	2
167	associacao fundo ıncent pesquisa	1	3	17
168	associated skin care specialists	1	65	5
169	atakent hosp	1	0	4
170	ataturk chest dis & chest surg educ &	1	0	0
171	ataturk chest dis & chest surg educ & res hosp	5	28	1
172	ataturk chest dis & chest surg teaching & res hos	1	12	1
173	ataturk chest dis & chest surg training & res hos	1	0	2
174	ataturk chest dis & thorac surg educ & res hosp	2	15	2
175	ataturk chest dis & thorac surg training & res ho	3	15	2
176	ataturk chest dis hosp	4	48	38
177	ataturk chest hosp	2	1	4
178	ataturk educ & res hosp	12	37	24
179	ataturk egitim & arastirma hastanesi endotem plk	1	28	1
180	ataturk egitim & arasturna hastanesi	1	8	0
181	ataturk hosp resp dis & thorac surg	1	13	2
182	ataturk res & educ hosp	3	4	10
183	ataturk res & training	1	0	0
184	ataturk state hosp	2	22	3
185	ataturk teaching & res hosp	1	1	2
186	ataturk teaching hosp	1	20	0
187	ataturk training & res hosp	29	135	37
188	ataturk training & res hosp ızmir	1	0	0
189	ataturk training res hosp	1	1	3
190	ataturk traning res hosp	1	0	0
191	ataturk univ	61	347	83
192	ataturk univ med fac	1	33	1
193	ataturk unıv	1	8	2
194	atuturk unıv	1	0	1
195	auckland city hosp	1	0	28
196	aufm	2	0	12
197	austin hlth	2	0	2
198	aventis pharma sa	1	12	1
199	avrasya hosp	2	0	2
200	aydin obstet & pediat hosp	1	0	4
201	aydin publ hosp	1	0	6
202	aydin state hosp	2	0	4
203	az osped s giovanni battista torino	1	1	12
204	azienda usl valle daosta	1	49	15
205	aııms	2	0	18
206	bacs kiskun cty teaching hosp	2	1	51
207	bagcilar educ & teaching hosp	1	0	1
208	bagcilar erh	1	0	35
209	bagcilar res & training hosp	1	1	2
210	bagcilar training & res hosp	2	2	4
211	bahcelievler govt hosp	2	0	2
212	bahcesehir univ	6	19	6
213	bakirkoy dr sadi konuk educ & res hosp	1	4	2
214	bakirkoy dr sadi konuk hosp	3	5	2
215	bakirkoy dr sadi konuk res & educ hosp	2	0	0
216	bakirkoy dr sadi konuk teaching & res hosp	2	4	0
217	bakirkoy dr sadi konuk training & res hosp	2	4	3
218	bakirkoy dr sadikonuk training & res hosp	1	2	4
219	bakirkoy dr sadl konuk educ & res hosp	1	5	6
220	bakirkoy matern & childrens hosp	1	19	4
221	bakirkoy sadi konuk res & training hosp	1	6	1
222	bakirkoy sadi konuk res & treatment hosp	1	2	4
223	bakirkoy sadi konuk training & res hosp	1	0	2
224	bakirkoy state hosp	1	7	1
225	bakirkoy training & res hosp	3	0	0
226	bakrkoy dr sadi konuk educ & reseach hosp	1	0	0
227	balikesir univ	5	23	15
228	balikligol state hosp	1	14	1
229	baltalimani bone dis hosp	1	3	3
230	bambino gesu pediat hosp	1	2	1
231	bandirma state hosp	1	0	3
232	bar ılan univ	1	5	20
233	barretos canc hosp	1	3	7
234	barts & london nhs trust	1	0	1
235	barts & london queen marys sch med & dent	1	0	8
236	basaksehir state hosp	1	0	13
237	baskent univ	191	694	213
238	baskent univ alanya hastanesi	1	0	0
239	baskent univ hosp	2	6	3
240	baskent unıv	1	11	1
241	batman state hosp	3	7	7
242	batıgoz hlth grp	1	1	4
243	bayburt state hosp	1	44	1
244	bayer schering pharma ag	1	30	6
245	bayindir hosp	1	9	1
246	bayindir kavaklidere hosp	1	12	1
247	bayindir med ctr	1	4	1
248	baylor coll med	36	562	116
249	baylor scott & white mem hosp	1	4	11
250	baylor univ	2	5	9
251	baystate med ctr	2	0	6
252	beijing army gen hosp	1	21	4
253	beijing union med coll hosp	1	2	19
254	belfast city hosp	3	7	8
255	besmialem univ	1	0	2
256	beth ısrael deaconess med ctr	2	0	6
257	betul ziya eren genome & stem cell res ctr	1	0	3
258	beyhekim state hosp	1	0	3
259	beykent univ	1	0	2
260	beytepe mil hosp	1	10	1
261	bezmialem fdn univ	4	3	21
262	bezmialem univ	3	11	5
263	bezmialem vakif univ	19	50	60
264	bezmialem vakif univ hosp	1	7	2
265	bezmialemvakif univ	1	23	1
266	bilim univ	3	13	41
267	bilkent univ	10	103	20
268	bingol branch off	1	1	1
269	bingol matern & childrens hosp	1	0	0
270	bingol state hosp	1	0	5
271	bingol univ	1	10	2
272	biol res ctr	1	37	4
273	biopt lab sro	1	0	11
274	biopt lab svo	1	0	11
275	birmingham heartlands hosp	1	62	9
276	biruni univ	1	22	3
277	bispebjerg hosp	1	29	11
278	bitlis tatvan publ hosp	1	0	1
279	black sea tech univ	3	0	0
280	blood ctr southeastern wisconsin	1	1	31
281	bogazici univ	12	267	36
282	bogazıcı unıv	3	10	4
283	bolge egitim & arastirma hastane	1	0	0
284	bolge egitim & arastirma hastanesi	3	0	0
285	bolge egitim & arastirma hastenesi	11	0	0
286	bolge egitim & arastirma hastesi	6	0	0
287	bolge egitim arastirma hastane	1	0	0
288	bolge egitim arastirma hastepek	1	0	0
289	bone marrow bank	6	19	9
290	boston univ	2	69	5
291	bozok univ	19	45	76
292	bozyaka training & res hosp	4	9	5
293	bozyaka ızmir training & res hosp	1	1	3
294	breakthrough breast canc res ctr	1	0	2
295	breast canc ctr paderborn	1	1	37
296	brigham & womens hosp	4	181	35
297	bristol royal ınfirm & gen hosp	1	8	3
298	british columbia canc agcy	1	3	4
299	broad ınst mıt & harvard	1	18	3
300	broadgreen univ hosp	1	4	5
301	brown univ	4	25	10
302	bruel & kjaer sound & vibrat measurement as	1	0	4
